date,interviewer,task,bundle_id,list_code
2025-01-06,A,DH,1470,30
2025-01-06,A,DH,1539,30
2025-01-06,A,DH,1592,30
2025-01-06,A,DH,2096,30
2025-01-06,A,DH,2850,30
2025-01-06,B,DH,3082,30
2025-01-06,B,DH,4437,30
2025-01-06,B,DH,4569,30
2025-01-06,B,DH,4688,30
2025-01-06,B,DH,4705,30
2025-01-06,C,DH,4744,30
2025-01-06,C,DH,4764,30
2025-01-06,C,DH,4981,30
2025-01-06,C,DH,5041,30
2025-01-06,C,DH,5087,30
2025-01-06,D,DH,5172,30
2025-01-06,D,DH,5572,30
2025-01-06,D,DH,5590,30
2025-01-06,D,DH,7228,30
2025-01-06,D,DH,7301,30
2025-01-06,E,DH,7355,30
2025-01-06,E,DH,7438,30
2025-01-06,E,DH,7461,30
2025-01-06,E,DH,7507,30
2025-01-06,E,DH,7510,30
2025-01-06,F,DH,7637,30
2025-01-06,F,DH,7675,30
2025-01-06,F,DH,7726,30
2025-01-06,F,DH,8006,30
2025-01-06,F,DH,8148,30
