date,bundle_id,segment_id,dh_arm,treated_share
2026-05-09,3444,SS-026069-PV1,Partial,0.5
2026-05-09,3444,SS-020510-PV1,Control,0.0
2026-05-09,3444,SS-014613-PV1,Control,0.0
2026-05-09,3444,SS-014611-PV1,Full,1.0
2026-05-09,3444,SS-020509-PV1,Control,0.0
2026-05-09,3444,SS-020511-PV1,Control,0.0
2026-05-09,3444,SS-011224-PV1,Control,0.0
2026-05-09,5181,SS-029008-PV1,Full,1.0
2026-05-09,5181,SS-002740-PV1,Partial,0.5
2026-05-09,5181,SS-002738-PV1,Partial,0.5
2026-05-09,5181,SS-029007-PV1,Control,0.0
2026-05-09,5181,SS-002737-PV1,Control,0.0
2026-05-09,3608,SS-009245-PV1,Control,0.0
2026-05-09,3608,SS-028359-PV1,Partial,0.5
2026-05-09,3608,SS-011657-PV1,Full,1.0
2026-05-09,3608,SS-023067-PV1,Control,0.0
2026-05-09,3608,SS-026614-PV1,Full,1.0
2026-05-09,3608,SS-026615-PV1,Control,0.0
2026-05-09,897,SS-015222-PV1,Control,0.0
2026-05-09,897,SS-022241-PV1,Control,0.0
2026-05-09,897,SS-017827-PV1,Partial,0.5
2026-05-09,897,SS-022240-PV1,Control,0.0
2026-05-09,897,SS-013332-PV1,Control,0.0
2026-05-09,897,SS-015223-PV1,Control,0.0
2026-05-09,897,SS-015221-PV1,Full,1.0
2026-05-09,897,SS-002537-PV1,Partial,0.5
2026-05-09,5802,SS-006097-PV1,Full,1.0
2026-05-09,5802,SS-007135-PV1,Full,1.0
2026-05-09,5802,SS-007133-PV1,Control,0.0
2026-05-09,5802,SS-007136-PV1,Control,0.0
2026-05-09,5802,SS-021538-PV1,Control,0.0
2026-05-09,5802,SS-007134-PV1,Partial,0.5
2026-05-09,5802,SS-029071-PV1,Partial,0.5
2026-05-09,2359,SS-016237-PV1,Partial,0.5
2026-05-09,2359,SS-022458-PV1,Full,1.0
2026-05-09,2359,SS-029004-PV1,Full,1.0
2026-05-09,2359,SS-022457-PV1,Partial,0.5
2026-05-09,2359,SS-022459-PV1,Full,1.0
