week,eligible_bundles
2021-01-02,3
2021-01-09,32
2021-01-16,42
2021-01-23,40
2021-01-30,47
2021-02-06,36
2021-02-13,40
2021-02-20,40
2021-02-27,43
2021-03-06,43
2021-03-13,53
2021-03-20,59
2021-03-27,70
2021-04-03,68
2021-04-10,39
2021-04-17,55
2021-04-24,53
2021-05-01,48
2021-05-08,52
2021-05-15,39
2021-05-22,48
2021-05-29,45
2021-06-05,33
2021-06-12,33
2021-06-19,44
2021-06-26,46
2021-07-03,34
2021-07-10,31
2021-07-17,29
2021-07-24,35
2021-07-31,42
2021-08-07,29
2021-08-14,40
2021-08-21,36
2021-08-28,45
2021-09-04,33
2021-09-11,29
2021-09-18,36
2021-09-25,29
2021-10-02,38
2021-10-09,40
2021-10-16,30
2021-10-23,40
2021-10-30,37
2021-11-06,35
2021-11-13,35
2021-11-20,22
2021-11-27,23
2021-12-04,27
2021-12-11,28
2021-12-18,38
2021-12-25,48
2022-01-01,39
2022-01-08,73
2022-01-15,59
2022-01-22,50
2022-01-29,64
2022-02-05,48
2022-02-12,32
2022-02-19,50
2022-02-26,46
2022-03-05,47
2022-03-12,62
2022-03-19,48
2022-03-26,74
2022-04-02,55
2022-04-09,47
2022-04-16,59
2022-04-23,54
2022-04-30,43
2022-05-07,58
2022-05-14,47
2022-05-21,50
2022-05-28,49
2022-06-04,26
2022-06-11,52
2022-06-18,37
2022-06-25,36
2022-07-02,30
2022-07-09,34
2022-07-16,27
2022-07-23,35
2022-07-30,39
2022-08-06,32
2022-08-13,39
2022-08-20,37
2022-08-27,42
2022-09-03,50
2022-09-10,28
2022-09-17,47
2022-09-24,43
2022-10-01,38
2022-10-08,50
2022-10-15,42
2022-10-22,44
2022-10-29,23
2022-11-05,34
2022-11-12,49
2022-11-19,50
2022-11-26,44
2022-12-03,40
2022-12-10,42
2022-12-17,61
2022-12-24,43
2022-12-31,45
2023-01-07,71
2023-01-14,119
2023-01-21,158
2023-01-28,146
2023-02-04,91
2023-02-11,102
2023-02-18,75
2023-02-25,76
2023-03-04,111
2023-03-11,83
2023-03-18,115
2023-03-25,126
2023-04-01,119
2023-04-08,103
2023-04-15,92
2023-04-22,76
2023-04-29,67
2023-05-06,67
2023-05-13,48
2023-05-20,50
2023-05-27,50
2023-06-03,50
2023-06-10,41
2023-06-17,33
2023-06-24,50
2023-07-01,36
2023-07-08,38
2023-07-15,46
2023-07-22,41
2023-07-29,39
2023-08-05,41
2023-08-12,48
2023-08-19,37
2023-08-26,56
2023-09-02,46
2023-09-09,39
2023-09-16,49
2023-09-23,55
2023-09-30,41
2023-10-07,43
2023-10-14,33
2023-10-21,52
2023-10-28,45
2023-11-04,35
2023-11-11,35
2023-11-18,53
2023-11-25,34
2023-12-02,41
2023-12-09,36
2023-12-16,27
2023-12-23,39
2023-12-30,34
2024-01-06,45
2024-01-13,62
2024-01-20,54
2024-01-27,89
2024-02-03,80
2024-02-10,100
2024-02-17,96
2024-02-24,91
2024-03-02,71
2024-03-09,85
2024-03-16,68
2024-03-23,68
2024-03-30,66
2024-04-06,100
2024-04-13,92
2024-04-20,62
2024-04-27,63
2024-05-04,74
2024-05-11,62
2024-05-18,47
2024-05-25,60
2024-06-01,45
2024-06-08,53
2024-06-15,51
2024-06-22,32
2024-06-29,42
2024-07-06,24
2024-07-13,57
2024-07-20,48
2024-07-27,38
2024-08-03,41
2024-08-10,34
2024-08-17,35
2024-08-24,44
2024-08-31,45
2024-09-07,38
2024-09-14,35
2024-09-21,51
2024-09-28,44
2024-10-05,43
2024-10-12,53
2024-10-19,58
2024-10-26,41
2024-11-02,57
2024-11-09,43
2024-11-16,51
2024-11-23,42
2024-11-30,29
2024-12-07,38
2024-12-14,50
2024-12-21,36
2024-12-28,33
2025-01-04,38
2025-01-11,43
2025-01-18,49
2025-01-25,27
2025-02-01,47
2025-02-08,40
2025-02-15,64
2025-02-22,75
2025-03-01,51
2025-03-08,60
2025-03-15,89
2025-03-22,136
2025-03-29,109
2025-04-05,84
2025-04-12,85
2025-04-19,71
2025-04-26,66
2025-05-03,61
2025-05-10,61
2025-05-17,53
2025-05-24,42
2025-05-31,42
2025-06-07,42
2025-06-14,37
2025-06-21,37
2025-06-28,33
2025-07-05,34
2025-07-12,32
2025-07-19,44
2025-07-26,33
2025-08-02,38
2025-08-09,37
2025-08-16,51
2025-08-23,60
2025-08-30,42
2025-09-06,35
2025-09-13,38
2025-09-20,34
2025-09-27,39
2025-10-04,42
2025-10-11,35
2025-10-18,48
2025-10-25,58
2025-11-01,49
2025-11-08,46
2025-11-15,37
2025-11-22,75
2025-11-29,69
2025-12-06,47
2025-12-13,43
2025-12-20,48
2025-12-27,48
