week,total_eligible,eligible_dh,eligible_non_dh
2021-01-02,3,2,1
2021-01-09,18,7,11
2021-01-16,33,14,19
2021-01-23,28,10,18
2021-01-30,28,10,18
2021-02-06,26,8,18
2021-02-13,25,9,16
2021-02-20,24,12,12
2021-02-27,27,10,17
2021-03-06,23,10,13
2021-03-13,33,11,22
2021-03-20,36,14,22
2021-03-27,36,13,23
2021-04-03,40,15,25
2021-04-10,26,8,18
2021-04-17,30,8,22
2021-04-24,32,11,21
2021-05-01,28,10,18
2021-05-08,38,13,25
2021-05-15,37,9,28
2021-05-22,37,18,19
2021-05-29,36,12,24
2021-06-05,16,3,13
2021-06-12,21,5,16
2021-06-19,34,5,29
2021-06-26,31,9,22
2021-07-03,24,10,14
2021-07-10,16,6,10
2021-07-17,15,8,7
2021-07-24,24,10,14
2021-07-31,29,8,21
2021-08-07,20,7,13
2021-08-14,33,16,17
2021-08-21,27,10,17
2021-08-28,34,11,23
2021-09-04,25,6,19
2021-09-11,21,7,14
2021-09-18,28,13,15
2021-09-25,21,5,16
2021-10-02,30,8,22
2021-10-09,30,9,21
2021-10-16,20,9,11
2021-10-23,30,10,20
2021-10-30,28,14,14
2021-11-06,25,8,17
2021-11-13,26,9,17
2021-11-20,15,6,9
2021-11-27,18,7,11
2021-12-04,17,6,11
2021-12-11,22,7,15
2021-12-18,29,10,19
2021-12-25,39,18,21
2022-01-01,31,7,24
2022-01-08,59,20,39
2022-01-15,46,14,32
2022-01-22,42,19,23
2022-01-29,56,19,37
2022-02-05,38,16,22
2022-02-12,22,8,14
2022-02-19,38,15,23
2022-02-26,37,13,24
2022-03-05,38,20,18
2022-03-12,60,22,38
2022-03-19,34,10,24
2022-03-26,64,28,36
2022-04-02,49,19,30
2022-04-09,38,16,22
2022-04-16,49,22,27
2022-04-23,37,16,21
2022-04-30,32,12,20
2022-05-07,46,16,30
2022-05-14,38,12,26
2022-05-21,36,11,25
2022-05-28,43,17,26
2022-06-04,18,7,11
2022-06-11,38,15,23
2022-06-18,32,10,22
2022-06-25,31,14,17
2022-07-02,20,7,13
2022-07-09,25,9,16
2022-07-16,25,12,13
2022-07-23,28,8,20
2022-07-30,33,7,26
2022-08-06,25,8,17
2022-08-13,32,11,21
2022-08-20,33,12,21
2022-08-27,33,14,19
2022-09-03,40,12,28
2022-09-10,20,8,12
2022-09-17,41,19,22
2022-09-24,33,18,15
2022-10-01,31,15,16
2022-10-08,44,15,29
2022-10-15,35,14,21
2022-10-22,32,13,19
2022-10-29,13,4,9
2022-11-05,23,6,17
2022-11-12,41,16,25
2022-11-19,35,11,24
2022-11-26,33,16,17
2022-12-03,28,9,19
2022-12-10,33,8,25
2022-12-17,42,13,29
2022-12-24,29,8,21
2022-12-31,28,9,19
2023-01-07,46,16,30
2023-01-14,88,33,55
