segment_id,survey_week,bundle_id,week_start,y_sim,r_sim,Y_hat,R_hat,PotholeFix,PotholeControl,NoPothole
SS-011423-PV1,2026-01-10,3072,,,,,,0,0,0
SS-014576-PV1,2026-01-10,3072,,,,,,0,0,0
SS-014164-PV1,2026-01-10,3072,2026-01-10,0.0,,0.009223477362151183,0.19182440394473493,0,0,1
SS-014578-PV1,2026-01-10,3072,,,,,,0,0,0
SS-010418-PV1,2026-01-10,3072,,,,,,0,0,0
SS-014903-PV1,2026-01-10,3072,2026-01-10,0.0,,0.009223477362151183,0.19182440394473493,0,0,1
SS-011795-PV1,2026-01-10,3072,,,,,,0,0,0
SS-014163-PV1,2026-01-10,3072,2026-01-10,0.0,,0.020673859041540496,0.19182440394473493,0,0,1
SS-011793-PV1,2026-01-10,3072,,,,,,0,0,0
SS-014577-PV1,2026-01-10,3072,,,,,,0,0,0
SS-010417-PV1,2026-01-10,3072,,,,,,0,0,0
SS-011424-PV1,2026-01-10,3072,,,,,,0,0,0
SS-014165-PV1,2026-01-10,3072,,,,,,0,0,0
SS-011796-PV1,2026-01-10,3072,,,,,,0,0,0
SS-011425-PV1,2026-01-10,3072,,,,,,0,0,0
SS-026374-PV1,2026-01-31,3585,,,,,,0,0,0
SS-026799-PV1,2026-01-31,3585,,,,,,0,0,0
SS-026373-PV1,2026-01-31,3585,,,,,,0,0,0
SS-026354-PV1,2026-01-31,3585,,,,,,0,0,0
SS-007319-PV1,2026-01-31,2050,,,,,,0,0,0
SS-023007-PV1,2026-01-31,2050,,,,,,0,0,0
SS-007317-PV1,2026-01-31,2050,,,,,,0,0,0
SS-013018-PV1,2026-01-31,2050,,,,,,0,0,0
SS-014215-PV1,2026-01-31,2050,,,,,,0,0,0
SS-012606-PV1,2026-01-31,2050,,,,,,0,0,0
SS-013977-PV1,2026-01-31,2050,,,,,,0,0,0
SS-007318-PV1,2026-01-31,2050,,,,,,0,0,0
SS-026029-PV1,2026-01-31,2050,,,,,,0,0,0
SS-020230-PV1,2026-01-31,2050,,,,,,0,0,0
SS-005674-PV1,2026-01-31,5132,,,,,,0,0,0
SS-005695-PV1,2026-01-31,5132,,,,,,0,0,0
SS-005694-PV1,2026-01-31,5132,,,,,,0,0,0
SS-005693-PV1,2026-01-31,5132,2026-01-31,0.0,,0.013914380518938911,0.2862327574623963,0,0,1
SS-008360-PV1,2026-01-31,5132,,,,,,0,0,0
SS-005676-PV1,2026-01-31,5132,,,,,,0,0,0
SS-008332-PV1,2026-01-31,5132,,,,,,0,0,0
SS-008335-PV1,2026-01-31,5132,,,,,,0,0,0
SS-005696-PV1,2026-01-31,5132,,,,,,0,0,0
SS-005675-PV1,2026-01-31,5132,,,,,,0,0,0
SS-002314-PV1,2026-01-10,5136,2026-01-10,0.0,,0.009223477362151183,0.19182440394473493,0,0,1
SS-002315-PV1,2026-01-10,5136,,,,,,0,0,0
SS-026006-PV1,2026-01-10,5136,2026-01-10,0.0,,0.009223477362151183,0.19182440394473493,0,0,1
SS-022456-PV1,2026-01-10,5136,,,,,,0,0,0
SS-015130-PV1,2026-01-10,5136,2026-01-10,0.0,,0.009223477362151183,0.19182440394473493,0,0,1
SS-015070-PV1,2026-01-10,5136,,,,,,0,0,0
SS-018733-PV1,2026-01-17,3602,,,,,,0,0,0
SS-017449-PV1,2026-01-17,3602,2026-01-17,0.0,,0.011142717267139307,0.16259503843339354,0,0,1
SS-011653-PV1,2026-01-17,3602,,,,,,0,0,0
SS-017450-PV1,2026-01-17,3602,2026-01-17,0.0,,0.018776305053398848,0.16259503843339354,0,0,1
SS-011649-PV1,2026-01-17,3602,,,,,,0,0,0
SS-011652-PV1,2026-01-17,3602,,,,,,0,0,0
SS-011650-PV1,2026-01-17,3602,2026-01-17,0.0,,0.011142717267139307,0.16259503843339354,0,0,1
SS-017455-PV1,2026-01-17,3602,2026-01-17,0.0,,0.011142717267139307,0.16259503843339354,0,0,1
SS-011651-PV1,2026-01-17,3602,,,,,,0,0,0
SS-004258-PV1,2026-01-24,1554,,,,,,0,0,0
SS-035511-PV1,2026-01-24,1554,,,,,,0,0,0
SS-033360-PV1,2026-01-24,1554,,,,,,0,0,0
SS-004257-PV1,2026-01-24,1554,,,,,,0,0,0
SS-027537-PV1,2026-01-24,1554,2026-01-24,0.0,,0.024224619680513496,0.2476489378269791,0,0,1
SS-027079-PV1,2026-01-24,1554,,,,,,0,0,0
SS-029072-PV1,2026-01-24,5652,,,,,,0,0,0
SS-021840-PV1,2026-01-24,5652,,,,,,0,0,0
SS-021539-PV1,2026-01-24,5652,,,,,,0,0,0
SS-021536-PV1,2026-01-24,5652,,,,,,0,0,0
SS-021537-PV1,2026-01-24,5652,,,,,,0,0,0
SS-007131-PV1,2026-01-24,5652,,,,,,0,0,0
SS-035451-PV1,2026-01-24,5655,,,,,,0,0,0
SS-015988-PV1,2026-01-24,5655,,,,,,0,0,0
SS-019577-PV1,2026-01-24,5655,,,,,,0,0,0
SS-027418-PV1,2026-01-24,5655,,,,,,0,0,0
SS-009641-PV1,2026-01-24,5655,2026-01-24,0.0,,0.020407825787383725,0.2476489378269791,0,0,1
SS-019912-PV1,2026-01-24,5655,,,,,,0,0,0
SS-034752-PV1,2026-01-24,5655,,,,,,0,0,0
SS-019913-PV1,2026-01-24,5655,,,,,,0,0,0
SS-027291-PV1,2026-01-17,5145,,,,,,0,0,0
SS-000573-PV1,2026-01-17,5145,2026-01-17,0.0,,0.011142717267139307,0.16259503843339354,0,0,1
SS-027290-PV1,2026-01-17,5145,,,,,,0,0,0
SS-030229-PV1,2026-01-17,5145,,,,,,0,0,0
SS-015982-PV1,2026-01-17,5145,,,,,,0,0,0
SS-012844-PV1,2026-01-17,5145,,,,,,0,0,0
SS-027292-PV1,2026-01-17,5145,,,,,,0,0,0
SS-015983-PV1,2026-01-17,5145,,,,,,0,0,0
