date,bundle_id,segment_id,dh_arm,treated_share
2026-01-17,304,SS-019217-PV1,Control,0.0
2026-01-17,304,SS-019272-PV1,Partial,0.5
2026-01-17,304,SS-019271-PV1,Control,0.0
2026-01-17,304,SS-019290-PV1,Partial,0.5
2026-01-17,304,SS-019218-PV1,Full,1.0
2026-01-17,304,SS-003403-PV1,Control,0.0
2026-01-17,304,SS-019289-PV1,Control,0.0
2026-01-17,304,SS-019216-PV1,Control,0.0
2026-01-17,304,SS-019317-PV1,Full,1.0
2026-01-17,2386,SS-017354-PV1,Partial,0.5
2026-01-17,2386,SS-017348-PV1,Partial,0.5
2026-01-17,2386,SS-006787-PV1,Control,0.0
2026-01-17,2386,SS-017353-PV1,Partial,0.5
2026-01-17,3520,SS-001789-PV1,Control,0.0
2026-01-17,3520,SS-027331-PV1,Partial,0.5
2026-01-17,3520,SS-001386-PV1,Full,1.0
2026-01-17,3520,SS-010494-PV1,Partial,0.5
2026-01-17,3520,SS-010495-PV1,Full,1.0
2026-01-17,3520,SS-001385-PV1,Control,0.0
2026-01-17,3520,SS-001790-PV1,Partial,0.5
2026-01-17,3520,SS-001392-PV1,Control,0.0
2026-01-17,3540,SS-022737-PV1,Partial,0.5
2026-01-17,3540,SS-029716-PV1,Control,0.0
2026-01-17,3540,SS-021997-PV1,Control,0.0
2026-01-17,3540,SS-029715-PV1,Control,0.0
2026-01-17,3540,SS-021078-PV1,Full,1.0
2026-01-17,3540,SS-029931-PV1,Partial,0.5
2026-01-17,3540,SS-021995-PV1,Full,1.0
2026-01-17,3540,SS-029723-PV1,Full,1.0
2026-01-17,3540,SS-025602-PV1,Partial,0.5
2026-01-17,3540,SS-022738-PV1,Partial,0.5
2026-01-17,3540,SS-021077-PV1,Control,0.0
2026-01-17,3586,SS-027545-PV1,Partial,0.5
2026-01-17,3586,SS-010619-PV1,Partial,0.5
2026-01-17,3586,SS-007996-PV1,Partial,0.5
2026-01-17,3586,SS-000410-PV1,Full,1.0
2026-01-17,3586,SS-010122-PV1,Full,1.0
2026-01-17,3586,SS-027546-PV1,Partial,0.5
2026-01-17,3586,SS-026364-PV1,Full,1.0
2026-01-17,3586,SS-002317-PV1,Partial,0.5
2026-01-17,3586,SS-010620-PV1,Partial,0.5
2026-01-17,3586,SS-013157-PV1,Control,0.0
2026-01-17,3586,SS-026362-PV1,Partial,0.5
2026-01-17,3586,SS-026363-PV1,Partial,0.5
2026-01-17,5812,SS-023316-PV1,Control,0.0
2026-01-17,5812,SS-005616-PV1,Control,0.0
2026-01-17,5812,SS-005634-PV1,Partial,0.5
2026-01-17,5812,SS-022294-PV1,Partial,0.5
2026-01-17,5812,SS-005617-PV1,Partial,0.5
2026-01-17,5812,SS-022295-PV1,Full,1.0
2026-01-17,5812,SS-005615-PV1,Full,1.0
