segment_id,bundle_id,date,treatment_status_dh,survey_status_d2ds,has_pothole,pothole_count,share_fixed_potholes,avg_days_to_fix,max_days_to_status_change,bundle_pothole_count_excl_segment
SS-016527-PV1,5693,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-017762-PV1,5693,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-011937-PV1,5693,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-016528-PV1,5693,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-016529-PV1,5693,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-017263-PV1,5693,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-022457-PV1,2359,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-022458-PV1,2359,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-022459-PV1,2359,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-029004-PV1,2359,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-016237-PV1,2359,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-025118-PV1,3631,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-025286-PV1,3631,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-025929-PV1,3631,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-025928-PV1,3631,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-025288-PV1,3631,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-025119-PV1,3631,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-030012-PV1,3631,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-030011-PV1,3631,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-024393-PV1,2046,2026-01-10,DH,,0,0,0.0,0.0,0.0,1
SS-010215-PV1,2046,2026-01-10,DH,,0,0,0.0,0.0,0.0,1
SS-010214-PV1,2046,2026-01-10,DH,,1,1,1.0,0.0,0.0,0
SS-026361-PV1,2046,2026-01-10,DH,,0,0,0.0,0.0,0.0,1
SS-026360-PV1,2046,2026-01-10,DH,,0,0,0.0,0.0,0.0,1
SS-024394-PV1,2046,2026-01-10,DH,,0,0,0.0,0.0,0.0,1
SS-006155-PV1,2046,2026-01-10,DH,,0,0,0.0,0.0,0.0,1
SS-018666-PV1,6011,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-003694-PV1,6011,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-009189-PV1,6011,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-009191-PV1,6011,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-009190-PV1,6011,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-003695-PV1,6011,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-010321-PV1,6011,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-018665-PV1,6011,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-023560-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-023559-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-023558-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-025616-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-016666-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-023830-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-023828-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-016667-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-022510-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-016668-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-016669-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-020453-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-016670-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-019834-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
SS-022050-PV1,5103,2026-01-10,DH,,0,0,0.0,0.0,0.0,0
