segment_id,bundle_id,date,treatment_status_dh,survey_status_d2ds,has_pothole_this_week,pothole_count_this_week,all_potholes_fixed_this_week,share_fixed_this_week,avg_days_to_fix_this_week,max_days_to_fix_this_week,has_pothole_last_week,pothole_count_last_week,all_potholes_fixed_last_week,share_fixed_last_week,avg_days_to_fix_last_week,max_days_to_fix_last_week,bundle_pothole_count_excl_segment
SS-015365-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-003999-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-004000-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-023639-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-004001-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-026298-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-013344-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-013343-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-014324-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-014325-PV1,133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-006240-PV1,3259,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-013192-PV1,3259,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-014229-PV1,3259,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-030182-PV1,3259,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-030181-PV1,3259,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-021550-PV1,3259,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-021549-PV1,3259,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-031319-PV1,3133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-021994-PV1,3133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-003270-PV1,3133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-003269-PV1,3133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-029011-PV1,3133,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-028741-PV1,5190,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
SS-028742-PV1,5190,2026-02-07,DH,,0,0,0,0,,,0,0,0,0.0,,,0
